,run_time,wait_time,submit_time,gpu_num
220,1632779,0,1505051132,1
221,407852,0,1505051138,1
222,1632612,0,1505051138,1
223,408027,0,1505051163,1
224,1632478,0,1505051163,1
225,2040826,0,1505051168,1
226,399893,0,1505051173,1
227,1640752,0,1505051173,1
228,240575,0,1505200300,8
229,2091,0,1505200300,8
230,14787,0,1505200300,8
231,1522953,0,1505200300,8
232,212713,0,1505217108,1
233,4971983,0,1505217108,1
234,305426,0,1505217262,1
235,1143983,0,1505217262,1
236,224235,0,1505222240,1
237,992,0,1505222240,1
238,3737,0,1505222240,1
239,3627066,0,1505222240,1
240,1334495,0,1505222240,1
241,153707,0,1505254173,1
242,2803691,0,1505254173,1
243,431,0,1505280212,8
244,430,0,1505280212,8
245,163,0,1505280212,8
246,698,0,1505280212,8
247,4350592,0,1505280212,8
248,139135,0,1505300255,4
249,5050774,0,1505300255,4
250,140585,0,1505300283,4
251,822405,0,1505300283,4
252,3489171,0,1505300283,4
253,16,0,1505300283,4
254,4251662,0,1505300528,1
255,29,0,1505300528,1
256,30,0,1505300528,1
257,938869,0,1505300528,1
258,91044,0,1505348366,1
259,3158215,0,1505348366,1
260,399620,0,1505352038,8
261,187799,0,1505352038,8
262,5191056,0,1505359891,1
263,80864,0,1505359957,1
264,2784,0,1505359957,1
265,3631492,0,1505359957,1
266,4,0,1505359957,1
267,73815,0,1505359987,1
268,5111733,0,1505359987,1
269,87955,0,1505360843,1
270,2642764,0,1505360843,1
271,42636,0,1505361222,1
272,24641,0,1505361222,1
273,1675,0,1505361222,1
274,4670954,0,1505361222,1
275,7224,0,1505362874,1
276,4810161,0,1505362874,1
277,44950,0,1505362875,1
278,43289,0,1505362875,1
279,4663203,0,1505362875,1
280,43059,0,1505363211,1
281,5145380,0,1505363211,1
282,83766,0,1505364981,1
283,3626122,0,1505364981,1
284,1106362,0,1505364981,1
285,504656,0,1505364991,1
286,4238258,0,1505364991,1
287,481,0,1505368831,16
288,14401,0,1505368831,16
289,856965,0,1505368831,16
290,387345,0,1505368831,16
291,134966,0,1505368831,16
292,4809980,0,1505381944,1
293,51264,0,1505395900,1
294,2496822,0,1505395900,1
295,135325,0,1505395900,1
296,203226,0,1505397433,8
297,16282,0,1505398833,1
298,3186,0,1505398833,1
299,82170,0,1505398833,1
300,5067098,0,1505398833,1
301,1727889,0,1505403075,1
302,41471,0,1505403080,1
303,1930970,0,1505403080,1
304,400,0,1505421765,8
305,399,0,1505421765,8
306,175696,0,1505421765,8
307,186712,0,1505421943,8
308,29945,0,1505428637,1
309,1650298,0,1505428637,1
310,23881,0,1505430616,1
311,1632861,0,1505430616,1
312,4746259,0,1505430993,1
313,1658353,0,1505430994,1
314,1528034,0,1505430994,1
315,454198,0,1505430994,1
316,1107212,0,1505430994,1
317,3039,0,1505432572,1
318,3185,0,1505432572,1
319,1647371,0,1505432572,1
320,25783,0,1505432588,1
321,1633406,0,1505432588,1
322,1060229,0,1505437037,1
323,3682286,0,1505437037,1
324,4744394,0,1505437038,1
325,4321749,0,1505443028,1
326,2078325,0,1505446020,2
327,58941,0,1505446020,2
328,163229,0,1505446725,1
329,1044401,0,1505446725,1
330,2658306,0,1505446812,1
331,1662552,0,1505446851,1
332,1644898,0,1505446901,1
333,1644937,0,1505446963,1
334,4733585,0,1505447961,1
335,2,0,1505448017,1
336,1074630,0,1505451601,1
337,220924,0,1505451601,1
338,1637409,0,1505454398,1
339,1633714,0,1505458086,1
340,1632954,0,1505458935,1
341,1633010,0,1505459009,1
342,1632786,0,1505459020,1
343,1650313,0,1505459043,1
344,840547,0,1505459053,1
345,809480,0,1505459053,1
346,1650096,0,1505459081,1
347,1649897,0,1505459089,1
348,1650179,0,1505459101,1
349,1109987,0,1505459112,1
350,540106,0,1505459112,1
351,1650272,0,1505459134,1
352,1649894,0,1505459142,1
353,1650145,0,1505459153,1
354,1632515,0,1505459182,1
355,1632550,0,1505459248,1
356,1136325,0,1505459279,1
357,183,0,1505459279,1
358,495731,0,1505459279,1
359,1650037,0,1505459336,1
360,890532,0,1505459662,16
361,1631574,0,1505460237,1
362,417188,0,1505461089,8
363,788694,0,1505461089,8
364,1628507,0,1505462984,1
365,1604770,0,1505478349,1
366,9025,0,1505478349,1
367,1613863,0,1505478355,1
368,1613865,0,1505478362,1
369,1613861,0,1505478367,1
370,1613856,0,1505478374,1
371,2626972,0,1505478379,1
372,1613847,0,1505478384,1
373,1181762,0,1505478391,1
374,432081,0,1505478391,1
375,2612633,0,1505478397,1
376,1575924,0,1505484864,1
377,5199751,0,1505508132,1
378,3061,0,1505511756,8
379,179129,0,1505511756,8
380,194850,0,1505512478,8
381,359021,0,1505512478,8
382,402428,0,1505512478,8
383,2101781,0,1505537721,1
384,961193,0,1505537851,8
385,944094,0,1505537851,8
386,17495,0,1505537901,8
387,927988,0,1505537901,8
388,1864,0,1505538097,8
389,1928,0,1505538097,8
390,1714,0,1505538097,8
391,933471,0,1505538097,8
392,1024084,0,1505545196,1
393,371306,0,1505545196,1
394,14790,0,1505577170,8
395,2640404,0,1505577170,8
396,14796,0,1505577185,8
397,2643988,0,1505577185,8
398,1027284,0,1505631669,1
399,1026999,0,1505631972,1
400,1027030,0,1505631997,1
401,1455692,0,1505636142,1
402,605428,0,1505645235,1
403,931334,0,1505645235,1
404,1138353,0,1505658586,1
405,1647463,0,1505715737,1
406,596238,0,1505717482,1
407,1844185,0,1505717482,1
408,869025,0,1505717857,1
409,978296,0,1505717857,1
410,885564,0,1505717857,1
411,331361,0,1505717857,1
412,31,0,1505717857,1
413,20,0,1505717857,1
414,2403119,0,1505718125,1
415,319577,0,1505718125,1
416,336591,0,1505718125,1
417,111108,0,1505718125,1
418,32,0,1505718125,1
419,276,0,1505726621,8
420,276,0,1505726621,8
421,262,0,1505726735,8
422,267,0,1505726735,8
423,599586,0,1505726735,8
424,216058,0,1505726735,8
425,223351,0,1505726735,8
426,543858,0,1505732441,8
427,24894,0,1505732441,8
428,20841,0,1505732441,8
429,3738,0,1505732441,8
430,3867,0,1505732441,8
431,697308,0,1505732441,8
432,1042241,0,1505732599,1
433,923629,0,1505735349,1
434,923647,0,1505735355,1
435,1021124,0,1505755065,1
436,876024,0,1505766239,4
437,51444,0,1505766239,4
438,357117,0,1505767695,4
439,469134,0,1505767695,4
440,99861,0,1505767695,4
441,1816559,0,1505767779,1
442,711799,0,1505768442,1
443,174832,0,1505768442,1
444,698528,0,1505768442,1
445,1382249,0,1505768442,1
446,118730,0,1505768442,1
447,877592,0,1505777496,1
448,3526368,0,1505777496,1
449,1012832,0,1505799301,1
450,1917,0,1505799301,1
451,50114,0,1505799301,1
452,100790,0,1505799301,1
453,1483,0,1505799301,1
454,1172959,0,1505801221,1
455,454474,0,1505812000,4
456,710072,0,1505812000,4
457,1248899,0,1505814425,1
458,1336914,0,1505814431,1
459,265,0,1505818054,8
460,258,0,1505818054,8
461,35133,0,1505818054,8
462,261515,0,1505818054,8
463,34863,0,1505818057,8
464,2898562,0,1505818057,8
465,281,0,1505818087,8
466,2966325,0,1505818087,8
467,838046,0,1505820951,1
468,2567887,0,1505830140,1
469,2567787,0,1505830140,1
470,1335666,0,1505837124,1
471,841704,0,1505837124,1
472,7028,0,1505851753,8
473,4624798,0,1505851753,8
474,1730384,0,1505853910,1
475,2098872,0,1505853912,1
476,1635,0,1505871811,1
477,1289873,0,1505871811,1
478,382,0,1505871811,1
479,313,0,1505871811,1
480,297,0,1505871811,1
481,795109,0,1505872185,8
482,1452988,0,1505874300,1
483,14400,0,1505877834,2
484,14402,0,1505877834,2
485,14406,0,1505877834,2
486,1662248,0,1505877834,2
487,296,0,1505882024,8
488,302721,0,1505882024,8
489,460822,0,1505882024,8
490,3151,0,1505897205,1
491,2164380,0,1505897205,1
492,698680,0,1505897265,1
493,2076028,0,1505897265,1
494,14402,0,1505897265,1
495,14402,0,1505897265,1
496,14399,0,1505897265,1
497,2766153,0,1505897472,1
498,260369,0,1505897472,1
499,14402,0,1505897472,1
500,42575,0,1505897472,1
501,33459,0,1505897472,1
502,752517,0,1505906552,1
503,269,0,1505907426,8
504,274,0,1505907426,8
505,259,0,1505907426,8
506,258,0,1505907426,8
507,603257,0,1505907426,8
508,7,0,1505907449,8
509,446100,0,1505907449,8
510,157393,0,1505907449,8
511,692759,0,1505907449,8
512,2107549,0,1505907449,8
513,8,0,1505907462,8
514,1896,0,1505907462,8
515,6417,0,1505907462,8
516,444788,0,1505907462,8
517,470015,0,1505907462,8
518,4100039,0,1505914651,1
519,1313775,0,1505915907,1
520,1041059,0,1505916016,1
521,12515,0,1505939290,8
522,705262,0,1505939290,8
523,1652388,0,1505942803,1
524,1127338,0,1505947296,4
525,2131744,0,1505959509,1
526,22,0,1505959509,1
527,21,0,1505959509,1
528,184,0,1505959509,1
529,12,0,1505959509,1
530,2131302,0,1505959516,1
531,157,0,1505959516,1
532,149,0,1505959516,1
533,157,0,1505959516,1
534,16,0,1505959516,1
535,526496,0,1505959522,1
536,1604588,0,1505959522,1
537,144,0,1505959522,1
538,28,0,1505959522,1
539,19,0,1505959522,1
540,1137311,0,1505959530,1
541,994318,0,1505959530,1
542,179,0,1505959530,1
543,29,0,1505959530,1
544,19,0,1505959530,1
545,2131707,0,1505959536,1
546,137,0,1505959536,1
547,29,0,1505959536,1
548,15,0,1505959536,1
549,11,0,1505959536,1
550,2131743,0,1505959543,1
551,44,0,1505959543,1
552,21,0,1505959543,1
553,7,0,1505959543,1
554,6,0,1505959543,1
555,627033,0,1505959550,1
556,1504540,0,1505959550,1
